code,name_french,isco88,name_english
2636,Abbesse,2460,Abbess
2636,Abbé,2460,Abbot
1345,"Universitaire, université : chef de département ou facluty",1229,"Academic, university: head of department or facluty"
2310,"Universitaire, université: conférencier",2310,"Academic, university: lecturer"
3433,"Accessioner, bibliothèque",3439,"Accessioner, library"
2652,Accompagnateur,2453,Accompanist
2411,Cadres comptables,2411,Accountant
2411,"Comptable, certifié",2411,"Accountant, certified"
2411,"Comptable, agréé",2411,"Accountant, chartered"
2411,"Comptable, gestion",2411,"Accountant, management"
2411,"Comptable, fiscalité",2411,"Accountant, tax"
3117,"Acidiseur, puits de pétrole et de gaz",3117,"Acidiser, oil and gas well"
2659,Acrobate,3474,Acrobat
2655,Acteurs,2455,Actor
2120,Actuaire,2121,Actuary
2230,Acuponcteur,3241,Acupuncturist
3315,"Expert, réclamations",3417,"Adjuster, claims"
7311,"Ajusteur, instrument de précision",7311,"Adjuster, precision instrument"
7311,"Ajusteur, montre",7311,"Adjuster, watch"
1112,"Administrateur, ville",1120,"Administrator, city"
2522,"Administrateur, systèmes informatiques",2131,"Administrator, computer systems"
2522,"Administrateur, ordinateur : administration des systèmes",2131,"Administrator, computer: systems administration"
3332,"Administrateur, conférence",3439,"Administrator, conference"
2521,"Administrateur, données",2131,"Administrator, data"
2521,"Administrateur, base de données",2131,"Administrator, database"
1112,"Administrateur, gouvernement",1120,"Administrator, government"
1342,"Administrateur, établissement de santé",1319,"Administrator, health facility"
1342,"Administrateur, hôpital",1319,"Administrator, hospital"
1112,"Administrateur, organisation intergouvernementale",1120,"Administrator, intergovernmental organization"
2522,Administrateurs de systèmes,2131,"Administrator, IT systems"
1342,"Administrateur, médical",1319,"Administrator, medical"
2522,"Administrateur, réseau",2131,"Administrator, network"
3341,"Administrateur, bureau",3439,"Administrator, office"
2511,"Administrateur, SAP : analyse métier",2131,"Administrator, SAP: business analysis"
2522,"Administrateur, systèmes : ordinateurs",2131,"Administrator, systems: computers"
2522,"Administrateur, unix",2131,"Administrator, unix"
2522,"Administrateur, WAN",2131,"Administrator, WAN"
3514,"Administrateur, site web",3121,"Administrator, website"
110,Amiral,110,Admiral
2351,"Conseiller, universitaire",2351,"Adviser, academic"
3322,"Conseiller, service après-vente",3415,"Adviser, after-sales service"
2132,"Conseiller, agricole",3213,"Adviser, agricultural"
2423,"Conseiller, carrières",2412,"Adviser, careers"
2412,"Conseiller, dette",2419,"Adviser, debt"
2631,"Conseiller, économique",2441,"Adviser, economic"
2631,"Conseiller, politique économique",2441,"Adviser, economic policy"
2351,"Conseiller, éducation",2351,"Adviser, education"
2351,"Conseiller, éducation: méthodes",2351,"Adviser, education: methods"
2133,"Conseiller, environnement",2211,"Adviser, environmental"
2263,"Conseiller, santé environnementale",3222,"Adviser, environmental health"
2133,"Conseiller, gestion de l’environnement",2211,"Adviser, environmental management"
2132,"Conseiller, agriculture",3213,"Adviser, farming"
2412,"Conseiller, financier",2411,"Adviser, financial"
2132,"Conseiller, pêche",3213,"Adviser, fisheries"
2132,"Conseiller, foresterie",3213,"Adviser, forestry"
2132,"Conseiller, producteur",3213,"Adviser, grower's"
2132,"Conseiller, horticulture",3213,"Adviser, horticultural"
2423,"Conseiller, ressources humaines",2412,"Adviser, human resources"
2423,"Conseiller, relations industrielles",2412,"Adviser, industrial relations"
2412,Conseillers en finances et investissements,2419,"Adviser, investment"
2423,"Conseiller, relations de travail",2412,"Adviser, labour relations"
2611,"Conseiller, juridique",2429,"Adviser, legal"
2611,"Conseiller, législatif",2429,"Adviser, legislative"
2263,"Conseiller, santé et sécurité au travail",3152,"Adviser, occupational health and safety"
2263,"Conseiller, hygiène du travail",3152,"Adviser, occupational hygiene"
2412,"Conseiller, pensions",2419,"Adviser, pensions"
2422,"Conseiller, politique",2419,"Adviser, political"
2422,"Conseiller, politique publique",2419,"Adviser, public policy"
2263,"Conseiller, radioprotection",3222,"Adviser, radiation protection"
2359,"Conseiller, étudiant",2359,"Adviser, student"
2412,"Conseiller, pension de retraite",2419,"Adviser, superannuation"
2411,"Conseiller, fiscalité",2411,"Adviser, taxation"
2351,"Conseiller, méthodes d’enseignement",2351,"Adviser, teaching methods"
4221,"Conseiller, voyage",4221,"Adviser, travel"
2412,"Conseiller, gestion de patrimoine",2419,"Adviser, wealth management"
2423,"Conseiller, relations de travail",2412,"Adviser, workplace relations"
2611,"Avocat, juridique",2429,"Advocate, legal"
